"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","TB","TB to PSM","TB to Somite","checked","other"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","","",""
"741 ? 742","733","0.48494214137031094","741.0","742.0","0.48494214137031094","1","0","0","1","0"
"742 ? 743","734","1.4580557875163591","742.0","743.0","1.4580557875163591","1","0","0","1","0"
"743 ? 744","735","0.49454588836209484","743.0","744.0","0.49454588836209484","1","0","0","1","0"
"744 ? 745","736","0.38795371309627147","744.0","745.0","0.38795371309627147","1","0","0","1","0"
"745 ? 746","737","0.5655348596226062","745.0","746.0","0.5655348596226062","1","0","0","1","0"
"746 ? 747","738","1.6488032806588981","746.0","747.0","1.6488032806588981","1","0","0","1","0"
"747 ? 748","739","1.1799151547557936","747.0","748.0","1.1799151547557936","1","0","0","1","0"
"748 ? 749","740","0.5222986706407655","748.0","749.0","0.5222986706407655","1","0","0","1","0"
"749 ? 750","741","0.2909652848221669","749.0","750.0","0.2909652848221669","1","0","0","1","0"
"750 ? 751","742","0.8343260071526305","750.0","751.0","0.8343260071526305","1","0","0","1","0"
