"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"107","107","687.0530494936271","2","118","245.7388517018241","2750.2884803173597","27.364594049838615","329.75332055396285","361.56714006100106","496.0148655971333","128.0332996621289","1.4672553341771255","0","210","0","0","1","1","0"
"108","108","615.5060432603221","2","119","253.114383713044","2728.5899935439916","27.616245443160405","226.26582709027412","361.67477242109544","494.9132851570823","127.98724765958217","1.4672553341771255","0","210","0","0","1","1","0"
"109","109","572.2436493333652","2","120","279.26219239116404","2626.5612258517494","30.057231043635415","212.062118140229","361.7287861020448","494.8866803295536","127.70936677093849","1.4672553341771255","0","210","0","0","1","1","0"
"110","110","547.3088942016008","2","121","288.0625276781787","2597.6083518877426","39.778613595099735","242.3713100507845","362.23037012580096","496.13930606226216","126.69942325362071","1.4672553341771255","0","210","0","0","1","1","0"
"111","111","538.5246368809502","2","122","304.52904526367587","2532.519173298791","37.524294469781736","261.95479751381754","362.2883893380609","496.34244052319144","126.3996251580458","1.4672553341771255","0","210","0","0","1","1","0"
"112","112","603.6583215858941","2","123","342.7050029139383","2648.110190941746","37.12184013742946","272.58546691078817","361.7468549274374","495.5885765840739","127.39488984347278","1.4672553341771255","0","210","0","0","1","1","0"
"113","113","476.64039111062743","2","124","349.75532697466804","2586.8439069707597","44.86588620377009","225.95876184152786","361.7556407956042","495.17856434333504","127.21583988712754","1.4672553341771255","0","210","0","0","1","1","0"
"114","114","506.5772727696118","2","125","353.33301922291304","2671.0380915588744","39.60272978239345","229.5590985376639","361.8798629858745","496.016458515573","126.65887755758561","1.4672553341771255","0","210","0","0","1","1","0"
"115","115","594.4592049389043","2","126","350.3825480456335","2551.3165109563784","45.61237106040825","294.58857773475216","361.9032326840417","496.8103454083226","125.66205228234605","1.4672553341771255","0","210","0","0","1","1","0"
"116","116","562.7740514671799","2","127","349.4437252915073","2543.895859991999","45.15021784518651","286.3741460308391","361.81408061919575","496.63415114747977","125.84879026272263","1.4672553341771255","0","210","0","0","1","1","0"
