"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","H","HtoL","adaxials","checked"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","",""
"112 ? 111","126","7.381232803765513","112.0","111.0","7.381232803765513","0","1","0","1"
"113 ? 112","127","7.54288229081737","113.0","112.0","7.54288229081737","0","1","0","1"
"114 ? 113","128","4.404481662634655","114.0","113.0","4.404481662634655","0","1","0","1"
"115 ? 114","129","2.7987342497541148","115.0","114.0","2.7987342497541148","0","1","0","1"
"377 ? 355","130","1.9575279452348107","377.0","355.0","1.9575279452348107","0","1","0","1"
"79 ? 78","131","3.8579874887705317","79.0","78.0","3.8579874887705317","0","1","0","1"
"80 ? 79","132","3.3249558319029977","80.0","79.0","3.3249558319029977","0","1","0","1"
"81 ? 80","133","5.201817007088469","81.0","80.0","5.201817007088469","0","1","0","1"
"82 ? 81","134","3.450688912493866","82.0","81.0","3.450688912493866","0","1","0","1"
"83 ? 82","135","3.1939692386530494","83.0","82.0","3.1939692386530494","0","1","0","1"
"84 ? 83","136","1.7179236935754472","84.0","83.0","1.7179236935754472","0","1","0","1"
"85 ? 84","137","2.815307116173922","85.0","84.0","2.815307116173922","0","1","0","1"
"86 ? 85","138","2.7187980281427784","86.0","85.0","2.7187980281427784","0","1","0","1"
"198 ? 86","139","1.8288614659024434","198.0","86.0","1.8288614659024434","0","1","0","1"
"199 ? 198","140","3.9096592658293736","199.0","198.0","3.9096592658293736","0","1","0","1"
"200 ? 199","141","2.7263396837400693","200.0","199.0","2.7263396837400693","0","1","0","1"
"201 ? 200","142","3.6759660521160997","201.0","200.0","3.6759660521160997","0","1","0","1"
"202 ? 201","143","3.666832553460205","202.0","201.0","3.666832553460205","0","1","0","1"
"203 ? 202","144","5.055628808817306","203.0","202.0","5.055628808817306","0","1","0","1"
"204 ? 203","145","7.952183209033328","204.0","203.0","7.952183209033328","0","1","0","1"
"205 ? 204","146","9.414640616017573","205.0","204.0","9.414640616017573","0","1","0","1"
"206 ? 205","147","5.448917270853988","206.0","205.0","5.448917270853988","0","1","0","1"
"207 ? 206","148","2.4875205293034988","207.0","206.0","2.4875205293034988","0","1","0","1"
"208 ? 207","149","6.788993896223407","208.0","207.0","6.788993896223407","0","1","0","1"
"209 ? 208","150","2.0754637942081504","209.0","208.0","2.0754637942081504","0","1","0","1"
"210 ? 209","151","3.410746540271482","210.0","209.0","3.410746540271482","0","1","0","1"
"211 ? 210","152","4.378013383427489","211.0","210.0","4.378013383427489","0","1","0","1"
"212 ? 211","153","1.4283864671343074","212.0","211.0","1.4283864671343074","0","1","0","1"
"213 ? 212","154","3.230532212342651","213.0","212.0","3.230532212342651","0","1","0","1"
"214 ? 213","155","2.5992677184936914","214.0","213.0","2.5992677184936914","0","1","0","1"
"215 ? 214","156","6.252684074734043","215.0","214.0","6.252684074734043","0","1","0","1"
"216 ? 215","157","5.966576834709758","216.0","215.0","5.966576834709758","0","1","0","1"
"217 ? 216","158","7.796485118105396","217.0","216.0","7.796485118105396","0","1","0","1"
"218 ? 217","159","5.91810895597749","218.0","217.0","5.91810895597749","0","1","0","1"
"219 ? 218","160","5.850263621203417","219.0","218.0","5.850263621203417","0","1","0","1"
"220 ? 219","161","7.663898355115162","220.0","219.0","7.663898355115162","0","1","0","1"
"221 ? 220","162","5.172801377561595","221.0","220.0","5.172801377561595","0","1","0","1"
"222 ? 221","163","3.965567470729465","222.0","221.0","3.965567470729465","0","1","0","1"
"223 ? 222","164","3.9597796188833416","223.0","222.0","3.9597796188833416","0","1","0","1"
"224 ? 223","165","3.6529234778127964","224.0","223.0","3.6529234778127964","0","1","0","1"
"225 ? 224","166","2.886979372413705","225.0","224.0","2.886979372413705","0","1","0","1"
"226 ? 225","167","2.4735356181856307","226.0","225.0","2.4735356181856307","0","1","0","1"
"227 ? 226","168","0.0","227.0","226.0","0.0","0","1","0","1"
"228 ? 227","169","7.439379120035289","228.0","227.0","7.439379120035289","0","1","0","1"
"229 ? 228","170","7.141932335671446","229.0","228.0","7.141932335671446","0","1","0","1"
"230 ? 229","171","1.6861269591117605","230.0","229.0","1.6861269591117605","0","1","0","1"
"182 ? 230","172","4.695259462730649","182.0","230.0","4.695259462730649","0","1","0","1"
"183 ? 182","173","5.774686189463915","183.0","182.0","5.774686189463915","0","1","0","1"
"184 ? 183","174","5.889388278197467","184.0","183.0","5.889388278197467","0","1","0","1"
"185 ? 184","175","7.367318470455362","185.0","184.0","7.367318470455362","0","1","0","1"
"186 ? 185","176","8.579253408061993","186.0","185.0","8.579253408061993","0","1","0","1"
"187 ? 186","177","8.597594266905753","187.0","186.0","8.597594266905753","0","1","0","1"
"188 ? 187","178","9.699864678177308","188.0","187.0","9.699864678177308","0","1","0","1"
"189 ? 188","179","6.7246417908300735","189.0","188.0","6.7246417908300735","0","1","0","1"
"190 ? 189","180","5.240254601315728","190.0","189.0","5.240254601315728","0","1","0","1"
"191 ? 190","181","7.361025406538082","191.0","190.0","7.361025406538082","0","1","0","1"
"192 ? 191","182","8.179537240983565","192.0","191.0","8.179537240983565","0","1","0","1"
"193 ? 192","183","4.060731449999141","193.0","192.0","4.060731449999141","0","1","0","1"
"194 ? 193","184","5.69008151531776","194.0","193.0","5.69008151531776","0","1","0","1"
"195 ? 194","185","7.868493827686083","195.0","194.0","7.868493827686083","0","1","0","1"
"196 ? 195","186","4.719738359416012","196.0","195.0","4.719738359416012","0","1","0","1"
"197 ? 196","187","5.6724195538829205","197.0","196.0","5.6724195538829205","0","1","0","1"
"175 ? 174","188","7.866230599026692","175.0","174.0","7.866230599026692","0","1","0","1"
"176 ? 175","189","4.316268045006982","176.0","175.0","4.316268045006982","0","1","0","1"
"177 ? 176","190","3.595152218025759","177.0","176.0","3.595152218025759","0","1","0","1"
"178 ? 177","191","2.4677420027041297","178.0","177.0","2.4677420027041297","0","1","0","1"
"179 ? 178","192","3.0688119628490855","179.0","178.0","3.0688119628490855","0","1","0","1"
"180 ? 179","193","1.4273972899356469","180.0","179.0","1.4273972899356469","0","1","0","1"
"181 ? 180","194","3.2417760713026813","181.0","180.0","3.2417760713026813","0","1","0","1"
"116 ? 181","195","3.8340132750165035","116.0","181.0","3.8340132750165035","0","1","0","1"
"117 ? 116","196","2.4901545782344","117.0","116.0","2.4901545782344","0","1","0","1"
"118 ? 117","197","1.830435672033408","118.0","117.0","1.830435672033408","0","1","0","1"
"119 ? 118","198","3.4534889159316235","119.0","118.0","3.4534889159316235","0","1","0","1"
"120 ? 119","199","5.129039853653172","120.0","119.0","5.129039853653172","0","1","0","1"
"121 ? 120","200","8.23610718376784","121.0","120.0","8.23610718376784","0","1","0","1"
"122 ? 121","201","9.969973014979162","122.0","121.0","9.969973014979162","0","1","0","1"
"123 ? 122","202","6.1181367386662275","123.0","122.0","6.1181367386662275","0","1","0","1"
"124 ? 123","203","4.124986001392426","124.0","123.0","4.124986001392426","0","1","0","1"
"125 ? 124","204","5.247338198716748","125.0","124.0","5.247338198716748","0","1","0","1"
"126 ? 125","205","0.8220262980588565","126.0","125.0","0.8220262980588565","0","1","0","1"
